,tournament,surface,round,player_1,player_2,player_1_rank,player_2_rank,player_1_winner_sets,player_2_winner_sets,player_1_bet365,player_2_bet365,player_1_pinnacle,player_2_pinnacle,winner
236,French Open,Clay,3rd Round,Rune H.,Olivieri G.,6.0,231.0,3.0,0.0,1.03,15.0,1.04,17.13,1
238,French Open,Clay,3rd Round,Dimitrov G.,Altmaier D.,29.0,79.0,3.0,0.0,1.36,3.2,1.41,3.19,1
240,French Open,Clay,4th Round,Khachanov K.,Sonego L.,11.0,48.0,3.0,1.0,1.44,2.75,1.49,2.84,1
242,French Open,Clay,4th Round,Alcaraz C.,Musetti L.,1.0,18.0,3.0,0.0,1.17,5.0,1.18,5.65,1
244,French Open,Clay,4th Round,Ruud C.,Jarry N.,4.0,35.0,3.0,0.0,1.44,2.75,1.48,2.87,1
246,French Open,Clay,4th Round,Zverev A.,Dimitrov G.,27.0,29.0,3.0,0.0,1.44,2.75,1.42,3.1,1
248,French Open,Clay,Quarterfinals,Djokovic N.,Khachanov K.,3.0,11.0,3.0,1.0,1.08,8.0,1.12,7.89,1
250,French Open,Clay,Quarterfinals,Zverev A.,Etcheverry T.,27.0,49.0,3.0,1.0,1.33,3.4,1.33,3.63,1
252,French Open,Clay,Semifinals,Djokovic N.,Alcaraz C.,3.0,1.0,3.0,1.0,2.63,1.5,2.59,1.57,1
254,French Open,Clay,The Final,Djokovic N.,Ruud C.,3.0,4.0,3.0,0.0,1.2,4.8,1.22,4.92,1
256,Wimbledon,Grass,1st Round,Musetti L.,Varillas J.P.,16.0,63.0,3.0,0.0,1.06,10.0,1.07,11.93,1
258,Wimbledon,Grass,1st Round,Thompson J.,Nakashima B.,70.0,55.0,3.0,2.0,1.91,1.91,1.88,2.04,1
260,Wimbledon,Grass,1st Round,Marterer M.,Gojo B.,170.0,112.0,3.0,1.0,2.0,1.8,2.26,1.71,1
262,Wimbledon,Grass,1st Round,Djokovic N.,Cachin P.,2.0,68.0,3.0,0.0,1.01,34.0,1.01,28.03,1
264,Wimbledon,Grass,1st Round,Moutet C.,Gasquet R.,71.0,51.0,3.0,0.0,2.38,1.57,2.49,1.61,1
266,Wimbledon,Grass,1st Round,Broady L.,Lestienne C.,142.0,74.0,3.0,0.0,1.5,2.63,1.51,2.75,1
268,Wimbledon,Grass,1st Round,Munar J.,Isner J.,109.0,103.0,3.0,1.0,3.2,1.36,3.05,1.44,1
270,Wimbledon,Grass,1st Round,Choinski J.,Lajovic D.,164.0,56.0,3.0,1.0,2.63,1.5,2.66,1.54,1
272,Wimbledon,Grass,1st Round,Otte O.,Koepfer D.,233.0,86.0,3.0,0.0,1.62,2.3,1.73,2.24,1
274,Wimbledon,Grass,1st Round,Vukic A.,Altmaier D.,87.0,66.0,3.0,1.0,1.44,2.75,1.44,3.03,1
276,Wimbledon,Grass,1st Round,Wawrinka S.,Ruusuvuori E.,88.0,47.0,3.0,0.0,3.0,1.4,3.47,1.36,1
278,Wimbledon,Grass,1st Round,Sinner J.,Cerundolo J.M.,8.0,111.0,3.0,0.0,1.02,19.0,1.03,21.56,1
280,Wimbledon,Grass,1st Round,Murray A.,Peniston R.,40.0,268.0,3.0,0.0,1.1,7.0,1.11,8.4,1
282,Wimbledon,Grass,1st Round,Halys Q.,Evans D.,79.0,30.0,3.0,1.0,2.0,1.8,1.97,1.93,1
284,Wimbledon,Grass,1st Round,Stricker D.,Popyrin A.,117.0,93.0,3.0,2.0,1.62,2.3,1.69,2.31,1
