tournament,surface,round,player_1,player_2,player_1_rank,player_2_rank,player_1_bet365,player_2_bet365,player_1_pinnacle,player_2_pinnacle,winner
US Open,Hard,2nd Round,Zhang Zh.,Ruud C.,67.0,5.0,4.5,1.2,4.97,1.22,1
US Open,Hard,2nd Round,Fritz T.,Varillas J.P.,9.0,74.0,1.03,15.0,1.03,20.4,1
US Open,Hard,2nd Round,Mmoh M.,Isner J.,89.0,157.0,1.8,2.0,1.83,2.09,1
US Open,Hard,2nd Round,Zverev A.,Altmaier D.,12.0,53.0,1.06,10.0,1.09,9.9,1
US Open,Hard,2nd Round,Rinderknech A.,Berrettini M.,73.0,36.0,4.5,1.2,5.25,1.2,1
US Open,Hard,2nd Round,De Minaur A.,Wu Y.,13.0,86.0,1.22,4.33,1.22,4.87,1
US Open,Hard,2nd Round,Norrie C.,Hsu Y.,16.0,237.0,1.07,9.0,1.1,8.84,1
US Open,Hard,2nd Round,Rublev A.,Monfils G.,8.0,162.0,1.4,3.0,1.41,3.15,1
US Open,Hard,2nd Round,Baez S.,Meligeni Alves F.,32.0,168.0,1.25,4.0,1.27,4.2,1
US Open,Hard,2nd Round,Medvedev D.,O Connell C.,3.0,69.0,1.03,15.0,1.04,19.21,1
US Open,Hard,3rd Round,Shelton B.,Karatsev A.,47.0,77.0,1.62,2.3,1.65,2.4,1
US Open,Hard,3rd Round,Hijikata R.,Zhang Zh.,110.0,67.0,2.3,1.62,2.45,1.62,1
US Open,Hard,3rd Round,Fritz T.,Mensik J.,9.0,206.0,1.08,8.0,1.08,10.81,1
US Open,Hard,3rd Round,Djokovic N.,Djere L.,2.0,38.0,1.01,26.0,1.02,30.68,1
